#Transcript_ID	GFF_annotation	HHPred_annotation
Smp_000020.1	Protein O-GlcNAcase	Ogoga, hyaluronoglucosaminidase
Smp_007180.2	Calcium homeostasis endoplasmic reticulum protein	Splicing factor 4
Smp_007190.1	Lariat debranching enzyme	RNA lariat debranching enzyme, putative
Smp_007210.1	Rab GTPase-activating protein 1	Rabgap1L, RAB GTPase-activating protein 1-like
Smp_007210.2	Rab GTPase-activating protein 1	Rabgap1L, RAB GTPase-activating protein 1-like
Smp_007210.3	Rab GTPase-activating protein 1	Rabgap1L, RAB GTPase-activating protein 1-like
Smp_007210.4	Rab GTPase-activating protein 1	Rabgap1L, RAB GTPase-activating protein 1-like
Smp_007260.1	Calcium-transporting ATPase sarcoplasmic/endoplasmic reticulum type	Sarcoplasmic/endoplasmic reticulum calcium ATPase
Smp_007270.1	Smoothelin-like protein 1	Smoothelin splice isoform L2
Smp_007290.1	Carbohydrate deacetylase	UPF0249 protein EF_3048
Smp_007290.2	Carbohydrate deacetylase	UPF0249 protein EF_3048
Smp_007290.3	Carbohydrate deacetylase	UPF0249 protein EF_3048
Smp_007290.4	Carbohydrate deacetylase	Hypothetical protein TTHB029
Smp_007290.5	Carbohydrate deacetylase	Hypothetical protein TTHB029
Smp_007300.1	Coiled-coil-helix-coiled-coil-helix domain-containing protein 2	Coiled-coil-helix-coiled-coil-helix domain-contai protein 7
Smp_007330.1	Hypothetical protein	CAMP-dependent protein kinase type II-beta regulatory subunit, CAMP-dependent protein kinase catalytic subunit alpha
Smp_007330.2	Hypothetical protein	CAMP-dependent protein kinase type II-beta regulatory subunit, CAMP-dependent protein kinase catalytic subunit alpha
Smp_007380.1	UPF0428 protein CXorf56 homolog	Putative uncharacterized protein
Smp_007450.1	Thiosulfate sulfurtransferase/rhodanese-like domain-containing protein 3	Putative thiosulfate sulfurtransferase YOR285W
Smp_007450.2	Thiosulfate sulfurtransferase/rhodanese-like domain-containing protein 3	Putative thiosulfate sulfurtransferase YOR285W
Smp_007500.1	Golgi phosphoprotein 3 homolog sauron	Golgi phosphoprotein 3
Smp_007510.1	Cyclin-dependent kinase 12	Cyclin-dependent kinase 12
Smp_007510.2	Hypothetical protein	Histone H2A
Smp_007510.3	Cyclin-dependent kinase 12	Cyclin-dependent kinase 12
Smp_007540.1	F-box protein At2g34280	3'-5' exoribonuclease CSL4 homolog
Smp_007540.2	Exosome complex component CSL4	3'-5' exoribonuclease CSL4 homolog
Smp_007550.1	Leukotriene A-4 hydrolase	Leukotriene A-4 hydrolase
Smp_007570.1	Uncharacterized protein HI_1038	Probable 30S ribosomal protein PSRP-3
Smp_007630.1	Polyadenylate-binding protein 2	Poly(A)-binding protein 1
Smp_007630.2	Polyadenylate-binding protein 2	Poly(A)-binding protein 1
Smp_007650.1	Glycogen debranching enzyme	Periplasmic trehalase
Smp_007660.1	Transcription elongation factor A protein 1	STP-alpha, transcription elongation factor S-II, DNA
Smp_007660.2	Transcription elongation factor A protein 1	STP-alpha, transcription elongation factor S-II, DNA
Smp_007670.1	Inversin-A	Ankyrin
Smp_007690.1	Tyrosine 3-monooxygenase	Tyroh, tyrosine hydroxylase
Smp_007710.1	Rapamycin-insensitive companion of mTOR	Cyclin-dependent kinase 5 activator 1
Smp_007710.2	Rapamycin-insensitive companion of mTOR	Cyclin-dependent kinase 5 activator 1
Smp_007710.3	Hypothetical protein	ATP-dependent RNA helicase A
Smp_007730.1	ER lumen protein-retaining receptor	DPAP B, YSCV, signal peptide of yeast dipeptidyl aminopeptidase
Smp_007760.1	Alanine aminotransferase 2	Alanine aminotransferase 2
Smp_007890.1	DNA-directed RNA polymerase III subunit RPC9	DNA-directed RNA polymerase III subunit RPC9
Smp_007900.1	60S ribosomal protein L23	50S ribosomal protein L14P
Smp_007960.1	4-hydroxyphenylpyruvate dioxygenase-like protein	4-hydroxyphenylpyruvate dioxygenase
Smp_007960.2	4-hydroxyphenylpyruvate dioxygenase-like protein	4-hydroxyphenylpyruvate dioxygenase
Smp_007960.3	4-hydroxyphenylpyruvate dioxygenase-like protein	4-hydroxyphenylpyruvate dioxygenase
Smp_007970.1	Ribosome maturation protein SBDS	Ribosome maturation protein SBDS
Smp_008070.1	Thioredoxin-2	Thioredoxin
Smp_008120.1	Mediator of RNA polymerase II transcription subunit 6	Mediator of RNA polymerase II transcription subun
Smp_008140.1	Ribosome-recycling factor	Ribosomal RNA-processing protein 7
Smp_008220.1	Probable palmitoyltransferase ZDHHC11	EEA1, early endosomal autoantigen 1
Smp_008220.2	Protein S-acyltransferase 21	Lectin
Smp_008220.3	Probable palmitoyltransferase ZDHHC11	Phosphatidylinositol-3-phosphate binding FYVE domain of protein VPS27
Smp_008230.1	Ras-related protein Rab-18	RAS-related protein RAB-18
Smp_008260.1	Glycogen synthase kinase-3 alpha	Glycogen synthase kinase-3 beta
Smp_008290.1	Trafficking protein particle complex subunit 9	Uncharacterized protein
Smp_008290.2	Trafficking protein particle complex subunit 9	Uncharacterized protein
Smp_008290.3	Trafficking protein particle complex subunit 9	Uncharacterized protein
Smp_008310.1	Succinate dehydrogenase cytochrome b560 subunit, mitochondrial	Succinate dehydrogenase cytochrome B, large subun
Smp_008320.1	3'(2'),5'-bisphosphate nucleotidase 1	3'(2'),5'-bisphosphate nucleotidase
Smp_008360.1	Adenosine kinase 2	Adenosine kinase, putative
Smp_008400.1	Adenosine kinase 2	Adenosine kinase, putative
Smp_008430.1	Exodeoxyribonuclease 7 large subunit	Regulator of sigma E protease
Smp_008440.1	DNA-directed RNA polymerases I, II, and III subunit RPABC5	DNA-directed RNA polymerases I, II, and III 8.3 K polypeptide
Smp_008450.1	Leucine-rich repeat and death domain-containing protein 1	LRR receptor-like serine/threonine-protein kinase
Smp_008470.1	Macrophage erythroblast attacher	PRE-mRNA splicing factor PRP19
Smp_008490.1	Glycogenin-1	Glycogenin-1
Smp_008500.1	Protein IWS1 homolog	Transcription factor IWS1
Smp_008545.1	heat shock protein 60	Groel protein
Smp_008580.1	UDP-N-acetylglucosamine transporter	Protein EMRE
Smp_008610.1	Plancitoxin-1	Cytochrome B559 subunit alpha
Smp_008620.1	Inactive rhomboid protein 1	Protein GLPG homolog
Smp_008660.1	Severin	Macrophage capping protein
Smp_008660.2	Severin	Horse plasma gelsolin
Smp_008660.3	Severin	Gelsolin
Smp_008710.1	Immunoglobulin superfamily member 10	Leucine-rich repeat-containing protein 4C
Smp_008770.1	28S ribosomal protein L42, mitochondrial	HK97 family phage portal protein
Smp_008830.1	Probable global transcription activator SNF2L1	Chromo domain-containing protein 1
Smp_008830.2	Probable global transcription activator SNF2L1	Chromo domain-containing protein 1
Smp_008830.3	Probable global transcription activator SNF2L1	Chromo domain-containing protein 1
Smp_008850.1	FMRFamide receptor	P2Y purinoceptor 12, soluble cytochrome B562
Smp_008900.1	Eukaryotic translation initiation factor 4 gamma 2	Eukaryotic translation initiation factor 4 gamma
Smp_008900.2	Eukaryotic translation initiation factor 4 gamma 2	Eukaryotic translation initiation factor 4 gamma
Smp_008900.3	Eukaryotic translation initiation factor 4 gamma 2	Eukaryotic translation initiation factor 4 gamma
Smp_009020.1	Zinc finger protein Eos	Zinc finger protein 217
Smp_009030.1	Ribonucleoside-diphosphate reductase large subunit	Ribonucleoside-diphosphate reductase large subuni
Smp_009070.1	Zinc finger protein 182	Wilms tumor 1
Smp_009150.1	Putative 3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial	3-oxoacyl-[acyl-carrier-protein] synthase 2
Smp_009150.2	3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial	3-oxoacyl-[acyl-carrier-protein] synthase 2
Smp_009150.3	3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial	3-oxoacyl-[acyl-carrier-protein] synthase 2
Smp_009230.1	E3 ubiquitin-protein ligase UBR4	Astexin1
Smp_009250.1	Hypothetical protein	TRIM5/cyclophilin A fusion protein/T4 lysozyme CH
Smp_009310.1	RGG repeats nuclear RNA binding protein B	Plasminogen activator inhibitor 1 RNA-binding Pro
Smp_009320.1	Elongin-C	Protein (elongin C)
Smp_009340.1	KRR1 small subunit processome component homolog	KRR1 small subunit processome component
Smp_009390.1	Prefoldin subunit 1	Prefoldin
Smp_009400.1	Hypothetical protein	Lipovitellin (LV-2)
Smp_009420.1	Cytochrome c oxidase assembly factor 7	Cysteine rich protein B
Smp_009430.1	Very-long-chain 3-oxoacyl-CoA reductase	Short-chain dehydrogenase
Smp_009520.1	Probable glutamate--tRNA ligase, mitochondrial	Glutamyl-tRNA synthetase
Smp_009520.2	Probable glutamate--tRNA ligase, mitochondrial	Glutamyl-tRNA synthetase
Smp_009520.3	Probable glutamate--tRNA ligase, mitochondrial	Glutamyl-tRNA synthetase
Smp_009540.1	Tripartite motif-containing protein 3	Tripartite motif protein 45
Smp_009540.2	Tripartite motif-containing protein 3	Tripartite motif protein 45
Smp_009540.3	PE-PGRS family protein PE_PGRS18	NHL, brain tumor CG10719-PA
Smp_009550.1	DNA mismatch repair protein MLH1	DNA mismatch repair protein MLH1
Smp_009550.2	DNA mismatch repair protein Mlh1	DNA mismatch repair protein MLH1
Smp_009560.1	Kelch-like protein 38	Kelch-like protein 7
Smp_009560.2	Kelch-like protein 10	Kelch-like protein 7
Smp_009560.3	Kelch-like protein 10	Gigaxonin
Smp_009600.1	serine:threonine protein kinase PLK1	Serine/threonine-protein kinase PLK1
Smp_009630.1	Homeobox protein SIX6	Maltose-binding periplasmic protein, homeobox Pro chimera
Smp_009650.1	Mitochondrial-processing peptidase subunit beta	Ubiquinol-cytochrome C reductase complex core Pro mitochondrial
Smp_009690.1	60S acidic ribosomal protein P0	60S acidic ribosomal protein P0
Smp_009760.1	14-3-3 protein homolog 1	14-3-3 protein gamma
Smp_009800.1	Serine/threonine-protein kinase Nek10	Serine/threonine-protein kinase NEK2
Smp_009800.2	Serine/threonine-protein kinase Nek10	Serine/threonine-protein kinase NEK2
Smp_009810.1	Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 3	Beta-1,6-N-acetylglucosaminyltransferase
Smp_009810.2	Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase	Beta-1,6-N-acetylglucosaminyltransferase
Smp_009810.3	Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase	Beta-1,6-N-acetylglucosaminyltransferase
Smp_009830.1	Translocon-associated protein subunit beta	Beclin-1
Smp_009990.1	Receptor protein-tyrosine kinase	Insulin receptor
Smp_009990.2	Insulin receptor	Insulin receptor
Smp_009990.3	Insulin receptor	Insulin receptor
Smp_010090.1	Charged multivesicular body protein 5	Charged multivesicular BODY protein 3
Smp_010100.1	Lipoyl synthase, mitochondrial	Lipoyl synthase 2
Smp_010110.1	E3 ubiquitin-protein ligase MARCH5	ERAD-associated E3 ubiquitin-protein ligase DOA10
Smp_010140.1	PIN2/TERF1-interacting telomerase inhibitor 1	Fibrinogen gamma-B chain
Smp_010140.2	PIN2/TERF1-interacting telomerase inhibitor 1	Deoxyribodipyrimidine photolyase
Smp_010160.1	Protein SGT1 homolog	Nuclear movement protein
Smp_010230.1	Guanine nucleotide-binding protein subunit beta	GT-beta
Smp_010250.1	Triple functional domain protein	RHOA/RAC/CDC42 exchange factor
Smp_010260.1	DNA repair protein complementing XP-A cells homolog	Nucleotide excision repair protein XPA (XPA-MBD)
Smp_010280.1	Monoacylglycerol lipase ABHD12	Alpha/beta hydrolase
Smp_010290.1	Ubiquilin-1	Sequestosome 1
Smp_010370.1	Receptor expression-enhancing protein 5	26S protease regulatory subunit 8
Smp_010380.1	Isochorismatase domain-containing protein 1	F35G2.2, MAR1 ribonuclease
Smp_010400.1	Reactive oxygen species modulator 1	Humanin
Smp_010450.1	Uncharacterized protein C1orf194	Putative thioredoxin
Smp_010450.2	Uncharacterized protein C1orf194	Hemagglutinin HA2
Smp_010550.1	Kinesin-like protein KIN-UA	Protein (chorismate mutase)
Smp_010550.2	Kinesin-like protein KIN-UA	Protein (chorismate mutase)
Smp_010550.3	Kinesin-like protein KIN-UA	Protein (chorismate mutase)
Smp_010550.4	Kinesin-like protein KIN-UA	Protein (chorismate mutase)
Smp_010620.1	Ester hydrolase C11orf54 homolog	Hypothetical protein PTD012
Smp_010620.2	Ester hydrolase C11orf54 homolog	Hypothetical protein PTD012
Smp_010620.3	Ester hydrolase C11orf54 homolog	Hypothetical protein PTD012
Smp_010620.4	Ester hydrolase C11orf54 homolog	Hypothetical protein PTD012
Smp_010620.5	Ester hydrolase C11orf54 homolog	Hypothetical protein PTD012
Smp_010690.1	Actin-related protein 2/3 complex subunit 2	P34, ARP2/3 complex 34 kDa subunit, P34-ARC
Smp_010710.1	NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial	NADH-quinone oxidoreductase subunit 1
Smp_010720.1	Elongation of very long chain fatty acids protein 7	Hypothetical protein
Smp_010800.1	Trimethylguanosine synthase	Trimethylguanosine synthase homolog
Smp_010800.2	Trimethylguanosine synthase	Trimethylguanosine synthase homolog
Smp_010800.3	Trimethylguanosine synthase	Trimethylguanosine synthase homolog
Smp_010800.4	Trimethylguanosine synthase	Trimethylguanosine synthase homolog
Smp_010800.5	Trimethylguanosine synthase	R11.6, I-superfamily conotoxin R11A
Smp_010820.1	peptidyl-alpha-hydroxyglycine alpha-amidating lyase	Peptidyl-glycine alpha-amidating monooxygenase
Smp_010930.1	Mitochondrial import receptor subunit TOM70	TPR repeat-containing protein YHR117W
Smp_010940.1	acidic leucine-rich nuclear phosphoprotein 32-related protein	Acidic leucine-rich nuclear phosphoprotein 32 FAM member A
Smp_010940.2	Acidic leucine-rich nuclear phosphoprotein 32-related protein	Acidic leucine-rich nuclear phosphoprotein 32 FAM member A
Smp_010940.3	Acidic leucine-rich nuclear phosphoprotein 32-related protein	Acidic leucine-rich nuclear phosphoprotein 32 FAM member A
Smp_011000.1	lipase 1	Triacylglycerol lipase, gastric
Smp_011010.1	Pentatricopeptide repeat-containing protein At1g29710, mitochondrial	Ribosome recycling factor
Smp_011030.1	BRCT-containing protein 1	Heme-binding protein 2
Smp_011120.1	Methionine aminopeptidase 2	Methionine aminopeptidase
Smp_011150.1	Threonine aspartase 1	Taspase 1, threonine aspartase 1
Smp_011220.1	Rab-3A-interacting protein	RAB-3A-interacting protein
Smp_011220.2	Rab-3A-interacting protein	RAB-3A-interacting protein
Smp_011230.1	GPI-anchor transamidase	Legumain
Smp_011230.2	GPI-anchor transamidase	Legumain
Smp_011230.3	GPI-anchor transamidase	Legumain
Smp_011270.1	Alanine--tRNA ligase	Sensory rhodopsin II transducer
Smp_011270.2	Alanine--tRNA ligase	Sensory rhodopsin II transducer
Smp_011560.1	Tetraspanin-11	CD81 antigen
Smp_011570.1	40S ribosomal protein S4	RP5, S7, YS6, 40S ribosomal protein S4-A
Smp_011640.1	Tryptophan synthase beta chain	2A peptide
Smp_011640.2	Tryptophan synthase beta chain	2A peptide
Smp_011640.3	Tyrosine--tRNA ligase, cytoplasmic	SWA2P
Smp_011640.4	Putative pentatricopeptide repeat-containing protein At1g28020	SWA2P
Smp_011660.1	Calcium/calmodulin-dependent protein kinase type II alpha chain	Calcium/calmodulin-dependent protein kinase type alpha with A beta 7 linker
Smp_011660.2	Calcium/calmodulin-dependent protein kinase type II alpha chain	Calcium/calmodulin-dependent protein kinase type alpha with A beta 7 linker
Smp_011660.3	Calcium/calmodulin-dependent protein kinase type II alpha chain	Calcium/calmodulin-dependent protein kinase type alpha with A beta 7 linker
Smp_011680.1	Scavenger receptor class B member 1	Lysosome membrane protein 2
Smp_011680.2	CD36-like class B scavenger receptor	Lysosome membrane protein 2
Smp_011700.1	Tyrosine-protein kinase transforming protein ros	Tyrosine-protein kinase transmembrane receptor RO
Smp_011710.1	Protein AAR2 homolog	A1 cistron-splicing factor AAR2
Smp_011710.2	Protein AAR2 homolog	A1 cistron-splicing factor AAR2
Smp_011720.1	PHD finger-like domain-containing protein 5A	PRE-mRNA-splicing factor RDS3
Smp_011830.1	Urease accessory protein UreD 2	Conserved domain protein
Smp_011830.2	Subtilisin-like protease 9	Conserved domain protein
Smp_011860.1	Transcription factor NF-E2 45 kDa subunit	Nuclear factor erythroid 2-related factor 2
Smp_011860.2	Transcription factor NF-E2 45 kDa subunit	Nuclear factor erythroid 2-related factor 2
Smp_011860.3	Intersectin-1	Calmodulin-related protein, putative
Smp_011870.1	Protein GREB1	Conserved protein MTH11
Smp_011960.1	Inositol-pentakisphosphate 2-kinase	Inositol-pentakisphosphate 2-kinase
Smp_011960.2	Inositol-pentakisphosphate 2-kinase	Inositol-pentakisphosphate 2-kinase
Smp_011960.3	Inositol-pentakisphosphate 2-kinase	Inositol-pentakisphosphate 2-kinase
Smp_011980.1	General transcription factor IIH subunit 1	TFIIH basal transcription factor complex P62 subunit
Smp_011980.2	General transcription factor IIH subunit 1	Synapse associated protein 1
Smp_011990.1	Beta-galactosidase	Beta-galactosidase
Smp_012000.1	nicotinic acetylcholine receptor	5-hydroxytryptamine receptor 3A
Smp_012010.1	Forkhead box protein O	Forkhead box protein O1
Smp_012030.1	Zinc finger protein 407	AART
Smp_012050.1	BolA-like protein 3	BOLA-like protein
Smp_012070.1	RRP15-like protein	Parathyroid hormone-related protein
Smp_012110.1	Exosome complex component RRP41	Exosome complex exonuclease RRP41
Smp_012150.1	Zinc finger C4H2 domain-containing protein	Ring finger protein 24
Smp_012150.2	Zinc finger C4H2 domain-containing protein	Similar to SP|P32453 saccharomyces cerevisiae YNL ATP11
Smp_012150.3	Zinc finger C4H2 domain-containing protein	Ring finger protein 24
Smp_012200.1	Zinc finger protein 227	AART
Smp_012200.2	Zinc finger protein 227	AART
Smp_012280.1	Protein CDV3 homolog	Protein (merozoite surface protein 1)
Smp_012340.1	U3 small nucleolar RNA-associated protein 14 homolog B	MRP-S24, S24MT, 28S ribosomal protein S24, mitochondrial
Smp_012350.1	venom allergen-like (VAL) 11 protein	Ancylostoma secreted protein 1
Smp_012350.2	venom allergen-like (VAL) 11 protein	Golgi-associated plant pathogenesis-related prote
Smp_012350.3	Golgi-associated plant pathogenesis-related protein 1	Golgi-associated plant pathogenesis-related prote
Smp_012350.4	Golgi-associated plant pathogenesis-related protein 1	Golgi-associated plant pathogenesis-related prote
Smp_012380.1	Voltage-gated potassium channel subunit beta-3	Voltage-gated potassium channel subunit beta-2
Smp_012400.1	Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1	Protein-tyrosine phosphatase mitochondrial 1
Smp_012410.1	28S ribosomal protein S22, mitochondrial	DNA damage-inducible protein DDI1
Smp_012440.1	Solute carrier family 2, facilitated glucose transporter member 1	D-xylose-proton symporter
Smp_012470.1	26S proteasome subunit ATPase 2	26S protease regulatory subunit 7 homolog
Smp_012480.1	Exonuclease 1	Exonuclease 1
Smp_012480.2	Exonuclease 1	Exonuclease 1
Smp_012480.3	Exonuclease 1	Exonuclease 1
Smp_012480.4	Hypothetical protein	Platelet glycoprotein IB beta chain
Smp_012530.1	Transcription elongation factor SPT4	Transcription elongation factor SPT4
Smp_012540.1	rRNA-processing protein UTP23 homolog	RRNA-processing protein UTP23
